Entry Date,Exit Date,Profit
03-01-2023,18-01-2023,0.000174318
04-01-2023,19-01-2023,0.000149355
05-01-2023,20-01-2023,0.000327696
06-01-2023,23-01-2023,0.000861143
09-01-2023,24-01-2023,0.001918766
10-01-2023,25-01-2023,0.001568923
11-01-2023,26-01-2023,0.00316926
12-01-2023,27-01-2023,0.007120735
13-01-2023,30-01-2023,0.001799038
17-01-2023,31-01-2023,0.004217625
18-01-2023,01-02-2023,0.005944091
19-01-2023,02-02-2023,0.028417818
20-01-2023,03-02-2023,0.077766918
23-01-2023,06-02-2023,0.037634602
24-01-2023,07-02-2023,0.084595284
25-01-2023,08-02-2023,0.039035199
26-01-2023,09-02-2023,0.026282773
27-01-2023,10-02-2023,0.026017165
30-01-2023,13-02-2023,0.068844934
31-01-2023,14-02-2023,0.055933166
01-02-2023,15-02-2023,0.090063554
02-02-2023,16-02-2023,0.03839781
03-02-2023,17-02-2023,-0.029221178
06-02-2023,21-02-2023,-0.026773984
07-02-2023,22-02-2023,-0.0703846
08-02-2023,23-02-2023,-0.021045712
09-02-2023,24-02-2023,-0.025553634
10-02-2023,27-02-2023,-0.016822494
13-02-2023,28-02-2023,-0.058166271
14-02-2023,01-03-2023,-0.056637923
15-02-2023,02-03-2023,-0.096334254
16-02-2023,03-03-2023,-0.037712411
17-02-2023,06-03-2023,0.017244999
21-02-2023,07-03-2023,0.024317217
22-02-2023,08-03-2023,0.037190718
23-02-2023,09-03-2023,0.005884175
24-02-2023,10-03-2023,0.008273861
27-02-2023,13-03-2023,0.015335832
28-02-2023,14-03-2023,0.038702865
01-03-2023,15-03-2023,0.049434946
02-03-2023,16-03-2023,0.109664339
03-03-2023,17-03-2023,0.064306622
06-03-2023,20-03-2023,0.090819284
07-03-2023,21-03-2023,0.214439412
08-03-2023,22-03-2023,0.119472137
09-03-2023,23-03-2023,0.200028213
10-03-2023,24-03-2023,0.289419767
13-03-2023,27-03-2023,0.178349748
14-03-2023,28-03-2023,0.120907447
15-03-2023,29-03-2023,0.288562942
16-03-2023,30-03-2023,0.344406095
17-03-2023,31-03-2023,0.63777157
20-03-2023,03-04-2023,0.732555636
21-03-2023,04-04-2023,0.586180415
22-03-2023,05-04-2023,0.42507691
23-03-2023,06-04-2023,0.480716096
24-03-2023,10-04-2023,0.110419731
27-03-2023,11-04-2023,0.139462006
28-03-2023,12-04-2023,0.134575551
29-03-2023,13-04-2023,0.487056603
30-03-2023,14-04-2023,0.306300216
31-03-2023,17-04-2023,0.048558928
03-04-2023,18-04-2023,0.026490848
04-04-2023,19-04-2023,0.320495921
05-04-2023,20-04-2023,0.394978406
06-04-2023,21-04-2023,0.04775995
10-04-2023,24-04-2023,0.363667376
11-04-2023,25-04-2023,0.268943014
12-04-2023,26-04-2023,0.291416521
13-04-2023,27-04-2023,0.504939079
14-04-2023,28-04-2023,0.802312399
17-04-2023,01-05-2023,0.779004585
18-04-2023,02-05-2023,0.361812117
19-04-2023,03-05-2023,-0.034101528
20-04-2023,04-05-2023,-0.15677481
21-04-2023,05-05-2023,1.941297669
24-04-2023,08-05-2023,1.862468091
25-04-2023,09-05-2023,1.517508504
26-04-2023,10-05-2023,2.094270835
27-04-2023,11-05-2023,1.446967132
28-04-2023,12-05-2023,0.778845943
01-05-2023,15-05-2023,0.658505747
02-05-2023,16-05-2023,0.862605925
03-05-2023,17-05-2023,1.307379624
04-05-2023,18-05-2023,2.357564898
27-09-2023,11-10-2023,3.654407534
28-09-2023,12-10-2023,4.046221423
29-09-2023,13-10-2023,2.915209383
25-10-2023,08-11-2023,5.269757991
26-10-2023,09-11-2023,5.862419986
27-10-2023,10-11-2023,8.246685226
30-10-2023,13-11-2023,6.740253552
31-10-2023,14-11-2023,8.495257757
